fid,row_index,col_index,経度,緯度,park_name
500,17,29,139.366430492186,35.6067432929661,小山内裏公園
501,18,29,139.366431539518,35.6065630223667,小山内裏公園
502,19,29,139.366432586841,35.6063827517619,小山内裏公園
503,20,29,139.366433634154,35.6062024811517,小山内裏公園
504,21,29,139.366434681459,35.606022210536,小山内裏公園
505,22,29,139.366435728754,35.6058419399149,小山内裏公園
506,23,29,139.366436776039,35.6056616692884,小山内裏公園
507,24,29,139.366437823316,35.6054813986564,小山内裏公園
508,25,29,139.366438870583,35.605301128019,小山内裏公園
509,26,29,139.36643991784,35.6051208573762,小山内裏公園
510,27,29,139.366440965089,35.6049405867279,小山内裏公園
511,28,29,139.366442012328,35.6047603160742,小山内裏公園
512,29,29,139.366443059558,35.6045800454151,小山内裏公園
513,30,29,139.366444106779,35.6043997747506,小山内裏公園
514,8,30,139.366641813098,35.6083665832768,小山内裏公園
515,9,30,139.366642860018,35.6081863127207,小山内裏公園
516,10,30,139.36664390693,35.6080060421591,小山内裏公園
517,11,30,139.366644953832,35.6078257715921,小山内裏公園
518,12,30,139.366646000725,35.6076455010197,小山内裏公園
519,13,30,139.366647047608,35.6074652304418,小山内裏公園
520,14,30,139.366648094482,35.6072849598585,小山内裏公園
521,15,30,139.366649141347,35.6071046892698,小山内裏公園
522,16,30,139.366650188203,35.6069244186756,小山内裏公園
523,17,30,139.366651235049,35.606744148076,小山内裏公園
524,18,30,139.366652281886,35.606563877471,小山内裏公園
525,19,30,139.366653328714,35.6063836068605,小山内裏公園
526,20,30,139.366654375532,35.6062033362446,小山内裏公園
527,21,30,139.366655422342,35.6060230656233,小山内裏公園
528,22,30,139.366656469142,35.6058427949966,小山内裏公園
529,23,30,139.366657515932,35.6056625243644,小山内裏公園
530,24,30,139.366658562713,35.6054822537268,小山内裏公園
531,25,30,139.366659609485,35.6053019830837,小山内裏公園
532,26,30,139.366660656248,35.6051217124353,小山内裏公園
533,27,30,139.366661703001,35.6049414417813,小山内裏公園
534,28,30,139.366662749745,35.604761171122,小山内裏公園
535,29,30,139.36666379648,35.6045809004573,小山内裏公園
536,10,31,139.366864653268,35.6080068969042,小山内裏公園
537,11,31,139.366865699675,35.6078266263315,小山内裏公園
538,12,31,139.366866746073,35.6076463557534,小山内裏公園
539,13,31,139.366867792461,35.6074660851699,小山内裏公園
540,14,31,139.36686883884,35.607285814581,小山内裏公園
541,15,31,139.36686988521,35.6071055439866,小山内裏公園
542,16,31,139.366870931571,35.6069252733868,小山内裏公園
543,17,31,139.366871977922,35.6067450027815,小山内裏公園
544,18,31,139.366873024264,35.6065647321709,小山内裏公園
545,19,31,139.366874070596,35.6063844615548,小山内裏公園
546,20,31,139.36687511692,35.6062041909332,小山内裏公園
547,21,31,139.366876163234,35.6060239203063,小山内裏公園
548,22,31,139.366877209539,35.6058436496739,小山内裏公園
549,23,31,139.366878255834,35.605663379036,小山内裏公園
550,24,31,139.36687930212,35.6054831083928,小山内裏公園
551,25,31,139.366880348397,35.6053028377441,小山内裏公園
552,26,31,139.366881394665,35.60512256709,小山内裏公園
553,27,31,139.366882440923,35.6049422964304,小山内裏公園
554,28,31,139.366883487172,35.6047620257654,小山内裏公園
555,11,32,139.367086445528,35.6078274806666,小山内裏公園
556,12,32,139.36708749143,35.6076472100829,小山内裏公園
557,13,32,139.367088537324,35.6074669394937,小山内裏公園
558,14,32,139.367089583208,35.6072866688991,小山内裏公園
559,15,32,139.367090629082,35.6071063982991,小山内裏公園
560,16,32,139.367091674948,35.6069261276936,小山内裏公園
561,17,32,139.367092720804,35.6067458570827,小山内裏公園
562,18,32,139.367093766651,35.6065655864664,小山内裏公園
563,19,32,139.367094812488,35.6063853158447,小山内裏公園
564,20,32,139.367095858316,35.6062050452175,小山内裏公園
565,21,32,139.367096904135,35.6060247745849,小山内裏公園
566,22,32,139.367097949945,35.6058445039468,小山内裏公園
567,23,32,139.367098995745,35.6056642333034,小山内裏公園
568,24,32,139.367100041537,35.6054839626545,小山内裏公園
569,25,32,139.367101087318,35.6053036920001,小山内裏公園
570,26,32,139.367102133091,35.6051234213404,小山内裏公園
571,27,32,139.367103178854,35.6049431506752,小山内裏公園
572,12,33,139.367308236797,35.6076480640079,小山内裏公園
573,13,33,139.367309282195,35.6074677934131,小山内裏公園
574,14,33,139.367310327584,35.6072875228129,小山内裏公園
575,15,33,139.367311372964,35.6071072522072,小山内裏公園
576,16,33,139.367312418334,35.6069269815961,小山内裏公園
577,17,33,139.367313463695,35.6067467109796,小山内裏公園
578,18,33,139.367314509047,35.6065664403576,小山内裏公園
579,19,33,139.367315554389,35.6063861697302,小山内裏公園
580,20,33,139.367316599722,35.6062058990974,小山内裏公園
581,21,33,139.367317645046,35.6060256284592,小山内裏公園
582,22,33,139.367318690361,35.6058453578155,小山内裏公園
583,23,33,139.367319735666,35.6056650871664,小山内裏公園
584,24,33,139.367320780962,35.6054848165118,小山内裏公園
585,25,33,139.367321826249,35.6053045458519,小山内裏公園
586,26,33,139.367322871526,35.6051242751865,小山内裏公園
587,13,34,139.367530027076,35.6074686469282,小山内裏公園
588,14,34,139.36753107197,35.6072883763223,小山内裏公園
589,15,34,139.367532116855,35.607108105711,小山内裏公園
590,16,34,139.36753316173,35.6069278350942,小山内裏公園
591,17,34,139.367534206596,35.6067475644721,小山内裏公園
592,18,34,139.367535251452,35.6065672938445,小山内裏公園
